ID,Area,City,Restaurant,Price,Avg ratings,Food type,Latitude,Longitude,Geocode Precision
381671,Rohini,Delhi,Standard Ice Cream(Rohini Sector-6 Ayodhya Chowk Wale),150,4,"Street Food,Desserts,Beverages",28.7041,77.1025,Locality (matched)
381688,Ghatkopar Vikhroli,Mumbai,Bff Bombay French Fries,300,2.9,"Continental,Desserts,Beverages,Snacks",19.098,72.925,Locality (matched)
381792,Nungambakkam,Chennai,The Break Room,300,2.9,"Beverages,Snacks,Fast Food,Chaat,Ice Cream",13.0569,80.2425,Locality (matched)
381804,Annanagar,Chennai,Abang Raju'S Nasi Goreng,350,2.9,"Singaporean,Malaysian",13.085,80.2101,Locality (matched)
381825,Royapettah,Chennai,The New Moghal Biriyani,300,2.9,"Biryani,Indian,Chinese",13.0569,80.265,Locality (matched)
381838,South Kolkata,Kolkata,37 Relish Route,200,2.9,"Bengali,Continental",22.5,88.345,Locality (matched)
381896,Piplod,Surat,Thali Central,350,4.1,"Biryani,North Indian,Mughlai,Beverages",21.166,72.777,Locality (matched)
381901,Indiranagar,Bangalore,Raffaele'S Ristorante Pizzeria,800,4.3,"Pizzas,Continental,Pastas,Fast Food,Beverages",12.9719,77.6412,Locality (matched)
381906,Marol Sakinaka,Mumbai,The Health Factory,600,2.9,Healthy Food,19.1073,72.8873,Locality (matched)
381965,Kothrud,Pune,Rambo'S Biryani House,350,2.9,"Indian,Kebabs",18.5074,73.8077,Locality (matched)
382138,Dumdum,Kolkata,Ebowl,300,4.3,"Biryani,Indian,Chinese",22.642,88.42,Locality (matched)
382190,Kilpauk,Chennai,Chai Garden,200,2.9,"South Indian,Beverages",13.085,80.241,Locality (matched)
382194,Kodambakkam,Chennai,Tommys Kitchen,300,2.9,"Chinese,Indian,Kebabs",13.05,80.2241,Locality (matched)
382216,Kilpauk,Chennai,Madras Momos,200,2.9,"Chinese,Combo,Beverages",13.085,80.241,Locality (matched)
382430,Chembur,Mumbai,Rajhans Dining ( Ornament ),700,2.9,"Indian,Chinese",19.0522,72.9006,Locality (matched)
